first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,full_name
Richarlison,Andrade,13,3,153,2662,36,350.7,698.4,1209.0,12,400,224.5,11,1,5,13.3,64,Richarlison Andrade
Kevin,Mirallas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,Kevin Mirallas
Sandro,Ramírez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,54,Sandro Ramirez
Lucas,Digne,4,5,158,2964,38,1142.0,883.0,300.0,22,736,232.7,13,1,5,10.2,54,Lucas Digne
Yerry,Mina,1,0,36,891,13,37.5,198.2,61.0,2,176,29.6,3,0,3,0.5,54,Yerry Mina
Bernard,Duarte,1,4,88,2108,19,589.6,366.0,377.0,5,319,133.3,13,0,5,0.3,59,Bernard Duarte
André,Gomes,1,2,64,1977,28,154.6,268.4,207.0,2,268,63.1,9,0,7,0.2,54,Andre Gomes
Kurt,Zouma,2,2,112,2613,39,83.7,565.2,235.0,12,543,88.8,10,1,3,1.0,50,Kurt Zouma
Kieran,Dowell,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,Kieran Dowell
Tyias,Browning,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,Tyias Browning
Calum,Chambers,2,0,60,2586,52,231.9,609.0,401.0,0,431,124.5,5,0,9,1.1,42,Calum Chambers
Marcus,Bettinelli,0,0,15,630,20,0.0,195.0,0.0,0,114,19.4,0,0,1,0.3,42,Marcus Bettinelli
Tim,Ream,0,0,50,2046,49,46.3,331.6,3.0,4,349,38.3,5,0,1,0.3,42,Tim Ream
Denis,Odoi,0,1,44,2593,62,164.2,575.2,93.0,2,427,83.5,3,0,4,0.1,44,Denis Odoi
Tom,Cairney,1,1,71,2188,51,586.7,358.0,199.0,3,389,114.5,5,0,0,0.5,46,Tom Cairney
Kevin,McDonald,0,0,17,837,27,71.9,99.6,15.0,0,123,18.7,0,1,4,0.2,42,Kevin McDonald
Ryan,Sessegnon,2,7,94,2291,60,468.3,410.4,438.0,3,295,132.0,3,0,0,1.9,60,Ryan Sessegnon
Stefan,Johansen,0,0,11,409,12,33.0,48.8,7.0,0,48,9.0,0,0,4,0.0,50,Stefan Johansen
Floyd,Ayité,1,0,24,466,13,117.5,90.0,74.0,0,91,28.0,0,0,0,0.1,42,Floyd Ayite
Neeskens,Kebano,0,0,7,101,3,8.3,17.6,8.0,0,24,3.4,0,0,0,0.0,43,Neeskens Kebano
Rui,Fonte,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,Rui Fonte
Aboubakar,Kamara,3,0,28,688,17,149.5,150.0,244.0,2,82,53.1,1,0,2,5.1,45,Aboubakar Kamara
Maxime,Marchand,0,1,38,2250,53,131.7,577.8,99.0,1,409,81.2,3,0,5,0.2,42,Maxime Marchand
Jean,Seri,1,3,72,2239,54,849.4,460.2,164.0,6,422,147.5,3,0,6,1.3,49,Jean Seri
Cyrus,Christie,0,1,42,1941,42,293.1,423.2,107.0,2,278,82.2,3,0,7,0.2,42,Cyrus Christie
Fabricio,Ramírez,0,0,8,180,5,0.0,115.2,0.0,2,47,11.5,0,0,0,0.2,42,Fabricio Ramirez
André,Schürrle,6,0,75,1638,43,310.6,361.8,474.0,2,260,114.0,2,0,2,2.1,55,Andre Schurrle
Aleksandar,Mitrovic,11,4,134,3280,78,499.5,638.8,1593.0,12,350,273.4,5,0,7,10.8,63,Aleksandar Mitrovic
Alfie,Mawson,0,0,19,1130,26,23.2,259.2,31.0,2,174,31.3,1,0,2,0.1,47,Alfie Mawson
Sergio,Rico,0,0,86,2610,56,20.3,851.4,0.0,8,519,87.1,5,0,1,0.7,44,Sergio Rico
Joe,Bryan,0,1,52,2344,54,385.4,469.2,226.0,4,397,108.1,5,0,5,0.2,48,Joe Bryan
Timothy,Fosu-Mensah,0,0,14,791,18,100.3,136.4,28.0,1,119,26.4,1,0,3,0.3,45,Timothy Fosu-Mensah
André-Frank,Anguissa,0,0,37,1512,33,137.0,315.8,163.0,0,235,61.4,3,1,1,0.1,44,Andre-Frank Anguissa
Luciano,Vietto,1,4,47,980,21,306.8,206.2,346.0,4,171,85.6,1,0,1,0.4,53,Luciano Vietto
Ibrahima,Cissé,0,0,4,86,4,2.1,11.6,0.0,0,16,1.4,0,0,0,0.1,43,Ibrahima Cisse
Zeze,Sessegnon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,Zeze Sessegnon
Ryan,Babel,5,4,75,1250,26,336.8,322.0,355.0,8,246,101.5,3,0,3,1.7,56,Ryan Babel
Håvard,Nordtveit,0,1,8,361,10,31.4,93.0,0.0,0,70,12.4,0,0,0,0.0,45,Havard Nordtveit
Lazar,Markovic,0,0,1,45,1,13.0,6.2,4.0,0,3,2.3,0,0,0,0.0,47,Lazar Markovic
Harvey,Elliott,0,0,2,18,1,1.7,3.8,17.0,0,7,2.2,0,0,0,0.6,40,Harvey Elliott
Luca,Torre,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,Luca Torre
Jason,Puncheon,0,0,15,392,9,79.9,43.6,39.0,0,50,16.3,1,0,1,1.0,41,Jason Puncheon
Ben,Hamer,0,0,9,552,21,0.0,158.0,0.0,0,98,15.7,0,0,0,5.3,39,Ben Hamer
Jonas,Lössl,0,1,99,2777,54,40.3,764.2,4.0,9,541,80.7,5,0,1,1.5,44,Jonas Lossl
Christopher,Schindler,1,1,76,3260,72,35.8,679.4,169.0,7,517,88.7,5,1,4,2.0,42,Christopher Schindler
Chris,Löwe,0,4,49,2052,55,379.9,325.8,183.0,6,313,88.8,1,0,2,0.1,44,Chris Lowe
Tommy,Smith,0,0,9,1141,37,116.2,161.4,36.0,0,141,31.5,1,1,2,0.1,44,Tommy Smith
Mathias,Jorgensen,3,1,67,2147,38,103.7,544.2,169.0,4,402,81.9,3,0,6,2.3,44,Mathias Jorgensen
Scott,Malone,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.1,40,Scott Malone
Florent,Hadergjonaj,0,0,50,1837,36,395.7,286.8,80.0,1,307,76.2,4,0,1,0.1,43,Florent Hadergjonaj
Terence,Kongolo,1,1,60,2716,65,138.5,581.0,160.0,4,429,88.1,4,0,4,0.2,43,Terence Kongolo
Aaron,Mooy,3,1,76,2326,48,725.2,510.8,359.0,5,411,159.7,3,0,4,1.0,50,Aaron Mooy
Rajiv,Parra,0,0,10,405,6,57.6,27.8,41.0,0,13,12.6,1,0,0,0.0,46,Rajiv Parra
Jonathan,Hogg,0,1,54,2369,44,271.1,390.4,70.0,3,326,72.5,5,1,8,0.2,44,Jonathan Hogg
Philip,Billing,2,0,63,2187,43,341.0,494.6,375.0,4,317,121.3,5,0,7,1.0,45,Philip Billing
